Incident,ReferenceText,# of tokens,# of types,# of predicates,# of manual predicates,# of automatic predicates,# of frame elements,# of manual frame elements,# of automatic frame elements
http://www.wikidata.org/entity/Q5651331,Seattle storm knocks out Microsoft campus.naf,170,108,51,0,51,0,0,0
http://www.wikidata.org/entity/Q60441824,"Elizabeth Warren Formally Announces 2020 Presidential Bid in Lawrence, Mass..naf",252,136,61,0,61,0,0,0
http://www.wikidata.org/entity/Q60441824,What we learned from the Greater Minnesota vote in 2020.naf,1505,450,323,0,323,0,0,0
http://www.wikidata.org/entity/Q60441824,Heartland Poll Release: Biden Leads in Midwest.naf,171,98,27,0,27,0,0,0
http://www.wikidata.org/entity/Q60441824,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60441824,Presidential Contest Tightens as Campaigns Move Into Eight-Week Home Stretch.naf,610,250,115,0,115,0,0,0
http://www.wikidata.org/entity/Q60441824,Minnesota Poll Results.naf,430,183,61,0,61,0,0,0
http://www.wikidata.org/entity/Q60441824,MN SEN General Election Key Findings Memo - Harper Polling.naf,776,263,90,0,90,0,0,0
http://www.wikidata.org/entity/Q60441824,"Minnesota: Election Tools, Deadlines, Dates, Rules, and Links.naf",127,58,29,0,29,0,0,0
http://www.wikidata.org/entity/Q60441824,POLL: Republican Lewis closes on DFL candidate Smith for US Senate seat in Minnesota.naf,302,160,60,0,60,0,0,0
http://www.wikidata.org/entity/Q60441824,Polls 2020-11-02 (smaller states).naf,320,165,60,0,60,0,0,0
http://www.wikidata.org/entity/Q60441824,"Michigan, Pennsylvania and Wisconsin Set to Flip in U.S. Election.naf",1083,325,169,0,169,0,0,0
http://www.wikidata.org/entity/Q60441824,Latest Georgia and Minnesota Voting Intention (12 - 17 September).naf,1583,440,298,0,298,0,0,0
http://www.wikidata.org/entity/Q60441824,State Canvassing Board Certifies Results of 2020 General Election.naf,547,221,111,0,111,0,0,0
http://www.wikidata.org/entity/Q60441824,Trump got more votes in Minnesota in 2020 than he did in 2016. But Biden got way more than Clinton did.naf,784,254,149,0,149,0,0,0
http://www.wikidata.org/entity/Q60441824,Live updates from 14 state primaries.naf,123,80,23,0,23,0,0,0
http://www.wikidata.org/entity/Q60441824,Extensive New Battleground Polling Shows Biden Gaining Ground.naf,204,123,42,0,42,0,0,0
http://www.wikidata.org/entity/Q60441824,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60441824,Elections & Voting.naf,28,22,6,0,6,0,0,0
http://www.wikidata.org/entity/Q5985531,National Weather Service Forecast Office.naf,749,258,144,0,144,0,0,0
http://www.wikidata.org/entity/Q18758263,Gyumri Family Murder Death Toll Rises to 7: Little Seryozha succumbs to stab wounds in hospital.naf,444,144,126,0,126,0,0,0
http://www.wikidata.org/entity/Q18758263,"Candles, flowers and toys in Yerevan to honor Seryozha Avetisyan (PHOTO).naf",1249,561,268,0,268,0,0,0
http://www.wikidata.org/entity/Q18758263,Lithuanian Ambassador offers condolences on Gyumri tragedy | ARMENPRESS Armenian News Agency.naf,255,115,38,0,38,0,0,0
http://www.wikidata.org/entity/Q18758263,Shock and Questions: Gyumri mourns murders as it looks for reasons.naf,457,212,115,0,115,0,0,0
http://www.wikidata.org/entity/Q18758263,Protesters Try To Burn Russian Flag As Armenians Mourn Family.naf,281,140,57,0,57,0,0,0
http://www.wikidata.org/entity/Q18758263,Georgia shares pain of Gyumri tragedy.naf,1026,484,220,0,220,0,0,0
http://www.wikidata.org/entity/Q18758263,6-month-old Seryozha Avetisyan dies (PHOTO).naf,1249,561,268,0,268,0,0,0
http://www.wikidata.org/entity/Q18758263,I am deeply shocked by murder of innocent people.naf,1249,561,268,0,268,0,0,0
http://www.wikidata.org/entity/Q18758263,Lavrov on Gyumri Murders: Neither Armenian nor Russian governments wish to politicize tragedy.naf,1083,241,217,0,217,0,0,0
http://www.wikidata.org/entity/Q18758263,Armenian leader extends condolences on death of Seryozha Avetisyan.naf,1249,561,268,0,268,0,0,0
http://www.wikidata.org/entity/Q18758263,Suspect in Gyumri Killings Detained at Turkish Border.naf,1003,353,235,0,235,0,0,0
http://www.wikidata.org/entity/Q18758263,Citizens of Gyumri have organized a candle-lighting ceremony in front of the Avetisyans' house | ARMENPRESS Armenian News Agency.naf,226,117,55,0,55,0,0,0
http://www.wikidata.org/entity/Q18758263,Appeals Court Upholds Life Sentence for Russian Soldier Convicted of Murder of Armenian Family.naf,441,205,110,0,110,0,0,0
http://www.wikidata.org/entity/Q18758263,Armenia: Murder Case Strains Relations with Moscow.naf,1408,471,328,0,328,0,0,0
http://www.wikidata.org/entity/Q18758263,Deputy police chief provided details on investigation into crime in Gyumri | ARMENPRESS Armenian News Agency.naf,265,126,64,0,64,0,0,0
http://www.wikidata.org/entity/Q18758263,"Citizens of Gyumri gathered near Russian military base, will wait one day for prosecutor’s response | ARMENPRESS Armenian News Agency.naf",315,140,76,0,76,0,0,0
http://www.wikidata.org/entity/Q18758263,Whole Gyumri mourns with Avetisyans’ relatives | ARMENPRESS Armenian News Agency.naf,549,216,127,0,127,0,0,0
http://www.wikidata.org/entity/Q4793607,Armistice Day deep freeze.naf,46,30,4,0,4,0,0,0
http://www.wikidata.org/entity/Q2391690,Desert storm hits Taranaki.naf,108,70,28,0,28,0,0,0
http://www.wikidata.org/entity/Q2391690,Are the dust storms radioactive? Australian scientists study Aussie dust from New Zealand.naf,587,281,133,0,133,0,0,0
http://www.wikidata.org/entity/Q2391690,Melbourne Airport warns of delays.naf,169,82,43,0,43,0,0,0
http://www.wikidata.org/entity/Q2391690,Red dust: face masks flying off the shelves.naf,149,94,33,0,33,0,0,0
http://www.wikidata.org/entity/Q2391690,"Dust Storm Hits Brisbane, Queensland.naf",919,374,186,0,186,0,0,0
http://www.wikidata.org/entity/Q2391690,Red dust cloud covers Sydney.naf,85,59,22,0,22,0,0,0
http://www.wikidata.org/entity/Q2391690,"Sydney dust storm worst in 70 years, says weather bureau.naf",488,251,94,0,94,0,0,0
http://www.wikidata.org/entity/Q2391690,Red dust covers Sydney.naf,83,59,22,0,22,0,0,0
http://www.wikidata.org/entity/Q2391690,Canberra disappears in the dust.naf,35,28,7,0,7,0,0,0
http://www.wikidata.org/entity/Q2391690,Brisbane CBD dusted: Sydney storm heads north.naf,1049,371,267,0,267,0,0,0
http://www.wikidata.org/entity/Q23018346,Clinton haunted by coal country comment.naf,1031,346,217,0,217,0,0,0
http://www.wikidata.org/entity/Q23018346,"Deep in Virginia’s craggy coal country, they saw Trump as their only hope.naf",1833,531,401,0,401,0,0,0
http://www.wikidata.org/entity/Q23018346,2016 General Election Turnout.naf,35,28,7,0,7,0,0,0
http://www.wikidata.org/entity/Q23018346,West Virginia Presidential Primary Ballots Set.naf,161,96,21,0,21,0,0,0
http://www.wikidata.org/entity/Q39059982,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q30643828,United States presidential election of 1960.naf,1842,610,386,0,386,0,0,0
http://www.wikidata.org/entity/Q30643828,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046100,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q39046100,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q60519479,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60519479,"Trump at 40% support in Utah ahead of 2020 vote; Trails Democrats Booker and Sanders, tied with Warren and Biden in head-to-head matchup.naf",896,302,162,0,162,0,0,0
http://www.wikidata.org/entity/Q60519479,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60519479,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519479,"Poll: What Utah voters think about Trump, Biden and the peaceful transfer of power.naf",1491,451,305,0,305,0,0,0
http://www.wikidata.org/entity/Q60519479,Donald Trump holding on to lead over Joe Biden in Utah.naf,1560,474,310,0,310,0,0,0
http://www.wikidata.org/entity/Q60519479,Utah poll: Would country be better or worse under Hillary Clinton?.naf,1304,433,274,0,274,0,0,0
http://www.wikidata.org/entity/Q60519479,Trump up 7 over Biden in new Utah poll.naf,1362,391,232,0,232,0,0,0
http://www.wikidata.org/entity/Q60519479,Former presidential candidate Evan McMullin endorses Rep. Ben McAdams in Utah race.naf,425,204,92,0,92,0,0,0
http://www.wikidata.org/entity/Q60519479,Poll: Donald Trump’s lead over Joe Biden holds steady in Utah.naf,884,329,173,0,173,0,0,0
http://www.wikidata.org/entity/Q60519479,Utah Outlook 2020 - Q1.naf,27,26,1,0,1,0,0,0
http://www.wikidata.org/entity/Q60519479,Voting & Elections Toolkits.naf,517,182,103,0,103,0,0,0
http://www.wikidata.org/entity/Q60519479,Utah Outlook 2019 - Quarter 3.naf,1871,472,208,0,208,0,0,0
http://www.wikidata.org/entity/Q60519479,Utah Outlook 2019 - Quarter 2.naf,28,26,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60519479,"Utah: Election Tools, Deadlines, Dates, Rules, and Links.naf",118,69,26,0,26,0,0,0
http://www.wikidata.org/entity/Q60519479,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60519479,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q30644585,U. S. Electoral College.naf,1735,181,29,0,29,0,0,0
http://www.wikidata.org/entity/Q30644585,United States presidential election of 1956.naf,921,419,195,0,195,0,0,0
http://www.wikidata.org/entity/Q10681317,Birmingham Cold Weather Facts.naf,976,257,80,0,80,0,0,0
http://www.wikidata.org/entity/Q10681317,"Tornado History Project: March 13, 1993.naf",604,189,108,0,108,0,0,0
http://www.wikidata.org/entity/Q10681317,"Where were you during the Blizzard of '93? AL.com wants your pictures, memories.naf",177,108,42,0,42,0,0,0
http://www.wikidata.org/entity/Q60442108,"Elizabeth Warren Formally Announces 2020 Presidential Bid in Lawrence, Mass..naf",252,136,61,0,61,0,0,0
http://www.wikidata.org/entity/Q60442108,Presidential Ratings.naf,63,40,2,0,2,0,0,0
http://www.wikidata.org/entity/Q60442108,Candidate preference.naf,151,88,33,0,33,0,0,0
http://www.wikidata.org/entity/Q60442108,Elizabeth Warren Announces Iowa Trip as She Starts Running for President in 2020.naf,390,202,94,0,94,0,0,0
http://www.wikidata.org/entity/Q60442108,Find Your Local League.naf,586,271,128,0,128,0,0,0
http://www.wikidata.org/entity/Q60442108,2020 President - Sabato's Crystal Ball.naf,28,23,3,0,3,0,0,0
http://www.wikidata.org/entity/Q60442108,Polls 2020-11-02 (smaller states).naf,320,165,60,0,60,0,0,0
http://www.wikidata.org/entity/Q60442108,2020 Electoral Interactive Map.naf,52,36,12,0,12,0,0,0
http://www.wikidata.org/entity/Q60442108,"Biden dominates the electoral map, but here's how the race could tighten.naf",1868,645,304,0,304,0,0,0
http://www.wikidata.org/entity/Q60442108,"Tennessee: Election Tools, Deadlines, Dates, Rules, and Links.naf",100,51,26,0,26,0,0,0
http://www.wikidata.org/entity/Q60442108,2020 Election Forecast.naf,61,43,16,0,16,0,0,0
http://www.wikidata.org/entity/Q60442108,Tennessee Election Results.naf,163,101,33,0,33,0,0,0
http://www.wikidata.org/entity/Q56279392,United States presidential election of 1940.naf,510,265,107,0,107,0,0,0
http://www.wikidata.org/entity/Q2090886,National Weather Service Forecast Office.naf,749,258,144,0,144,0,0,0
http://www.wikidata.org/entity/Q2090886,The St. Lawrence River Valley 1998 ice storm: maps and facts.naf,131,86,24,0,24,0,0,0
http://www.wikidata.org/entity/Q2090886,Operations : Past Operations : Operation Recuperation.naf,447,233,112,0,112,0,0,0
http://www.wikidata.org/entity/Q2090886,Canadian agriculture at a glance 1999: Article.naf,1533,533,364,0,364,0,0,0
http://www.wikidata.org/entity/Q2090886,The ice storm : an historic record in photographs of January 1998.naf,68,53,15,0,15,0,0,0
http://www.wikidata.org/entity/Q2090886,Ice Storm 1998.naf,885,395,199,0,199,0,0,0
http://www.wikidata.org/entity/Q2090886,News: Taken by Storm.naf,373,189,89,0,89,0,0,0
http://www.wikidata.org/entity/Q39059975,United States presidential election of 1952.naf,1179,465,236,0,236,0,0,0
http://www.wikidata.org/entity/Q55723938,Danforth shooter ‘was afraid he was going to hurt people’.naf,1241,410,297,0,297,0,0,0
http://www.wikidata.org/entity/Q55723938,Details on Danforth gunman revealed in documents police filed to obtain search warrant.naf,1346,442,314,0,314,0,0,0
http://www.wikidata.org/entity/Q55723938,Faisal Hussain ID'd as gunman in deadly Danforth shooting spree.naf,939,330,245,0,245,0,0,0
http://www.wikidata.org/entity/Q55723938,"Islamic State claims responsibility for Toronto mass shooting, yet provides no evidence.naf",783,304,195,0,195,0,0,0
http://www.wikidata.org/entity/Q55723938,"Toronto gunman had ‘severe mental health challenges,’ according to family.naf",725,268,175,0,175,0,0,0
http://www.wikidata.org/entity/Q55723938,'Like 2 different people': Friend of Faisal Hussain struggles to understand what sparked Danforth rampage.naf,1027,331,249,0,249,0,0,0
http://www.wikidata.org/entity/Q55723938,Feds looking at ways to tackle wave of gun violence in Toronto: Minister.naf,463,197,102,0,102,0,0,0
http://www.wikidata.org/entity/Q55723938,Toronto police search for clues to killer’s path.naf,1721,524,419,0,419,0,0,0
http://www.wikidata.org/entity/Q55723938,"Woman and girl dead, 13 other people injured in Danforth shooting in Toronto.naf",1500,468,397,0,397,0,0,0
